ID,ID_SRC,RA,DEC,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX_ARCMIN
eFEDS J085230.6+002457,2524,133.12750937092758,0.41587837450618104,64.457565,140.37146,0.27016499638557434,1,-1.0,-1.0,-1.0,2.177E43,1.9461E43,2.4138E43,5.6857E43,4.8659E43,7.1654E43,1.033E-13,9.2177E-14,1.1395E-13,-1.0,-1.0,-1.0,3.1927E43,2.8772E43,3.5194E43,8.2914E43,7.2227E43,1.0515E44,1.5152E-13,1.3621E-13,1.6651E-13,10.8,2.3813
eFEDS J085231.2-011230,4810,133.12960081897003,-1.2083513303903914,25.855331,69.7363,0.54566,0,-1.0,-1.0,-1.0,3.3314E43,2.7941E43,3.9967E43,1.0892E44,8.1266E43,1.4828E44,3.3285E-14,2.8175E-14,3.8701E-14,-1.0,-1.0,-1.0,4.5476E43,3.8606E43,5.3414E43,1.4849E44,1.1073E44,1.9979E44,4.4975E-14,3.8623E-14,5.237E-14,6.48,1.3349
eFEDS J085239.7+003240,5477,133.1651654874047,0.5445776209183858,11.640797,40.73712,0.4524900019168854,1,-1.0,-1.0,-1.0,2.6839E43,2.2447E43,3.2139E43,5.982E43,4.8719E43,7.414E43,3.7246E-14,3.1128E-14,4.4197E-14,-1.0,-1.0,-1.0,3.1991E43,2.6269E43,3.8383E43,7.1345E43,5.7626E43,8.7847E43,4.4296E-14,3.6244E-14,5.3186E-14,5.68,1.0581
eFEDS J085245.8-020519,5790,133.19054661361838,-2.088802472265776,8.168092,44.57247,0.76127,0,-1.0,-1.0,-1.0,6.9509E43,5.267E43,8.8002E43,1.1675E44,8.9798E43,1.4422E44,2.2426E-14,1.7085E-14,2.7127E-14,-1.0,-1.0,-1.0,8.3459E43,5.8683E43,1.0636E44,1.4059E44,9.9902E43,1.7655E44,2.6657E-14,1.9226E-14,3.3614E-14,5.07,0.7931
eFEDS J085255.2-013737,1376,133.22971868649446,-1.627118516638906,7.353206,14.90333,0.342739999294281,1,-1.0,-1.0,-1.0,1.1082E43,9.0552E42,1.337E43,2.6016E43,2.0215E43,3.5336E43,2.9728E-14,2.4464E-14,3.5691E-14,-1.0,-1.0,-1.0,1.6669E43,1.3783E43,1.9888E43,3.9167E43,3.0197E43,5.2588E43,4.4691E-14,3.7108E-14,5.3351E-14,7.01,1.7593
eFEDS J085256.8+052741,6642,133.23695413659627,5.461465361054336,8.217552,29.047646,0.272562,0,-1.0,-1.0,-1.0,7.7033E42,4.7548E42,1.079E43,3.2353E43,1.7682E43,4.9124E43,3.8218E-14,2.3433E-14,5.2446E-14,-1.0,-1.0,-1.0,7.8012E42,4.7742E42,1.0995E43,3.2827E43,1.8066E43,4.9921E43,3.8644E-14,2.3471E-14,5.3861E-14,3.62,0.5605
eFEDS J085325.7+030835,9042,133.35698781360773,3.143042820942621,7.116363,29.674263,0.335,0,-1.0,-1.0,-1.0,7.8761E42,5.7188E42,1.0479E43,2.4165E43,1.5359E43,4.0697E43,2.3257E-14,1.7013E-14,3.0139E-14,-1.0,-1.0,-1.0,8.1732E42,5.8077E42,1.1013E43,2.5168E43,1.5919E43,4.1902E43,2.4224E-14,1.7212E-14,3.1911E-14,4.04,0.659
eFEDS J085327.2-002117,6003,133.363355572413,-0.3549110857087295,17.465534,52.654156,0.19253000617027283,1,-1.0,-1.0,-1.0,6.125E42,5.3679E42,7.0216E42,2.8051E43,2.2769E43,3.3205E43,6.4571E-14,5.6525E-14,7.4069E-14,-1.0,-1.0,-1.0,7.8557E42,6.7291E42,9.0457E42,3.5605E43,2.9284E43,4.2576E43,8.2523E-14,7.0773E-14,9.5195E-14,7.33,1.8612
eFEDS J085335.2+032215,8596,133.3966841750291,3.370815601486544,11.961939,33.655167,0.2945699989795685,1,-1.0,-1.0,-1.0,8.9654E42,7.1506E42,1.1113E43,2.7857E43,1.9814E43,4.1147E43,3.5898E-14,2.8699E-14,4.444E-14,-1.0,-1.0,-1.0,1.0656E43,8.2902E42,1.3458E43,3.3136E43,2.298E43,4.8912E43,4.2255E-14,3.3293E-14,5.3594E-14,4.71,1.2009
eFEDS J085340.6+022411,9213,133.4191191983705,2.403167141175717,31.169252,48.536503,0.19626499712467194,1,-1.0,-1.0,-1.0,6.4697E42,5.432E42,7.4964E42,1.1592E43,9.4181E42,1.4912E43,5.8122E-14,4.8616E-14,6.7159E-14,-1.0,-1.0,-1.0,8.0382E42,6.7032E42,9.3767E42,1.4437E43,1.164E43,1.8932E43,7.2003E-14,5.9834E-14,8.4439E-14,6.08,1.7407
eFEDS J085412.9-022123,1458,133.5535881120858,-2.3566186581302166,12.689821,60.953064,0.377435,0,-1.0,-1.0,-1.0,9.302E43,8.1119E43,1.0959E44,3.0333E44,2.4017E44,3.7012E44,2.1412E-13,1.8642E-13,2.5041E-13,-1.0,-1.0,-1.0,1.2666E44,1.1078E44,1.4881E44,4.0866E44,3.2716E44,5.0623E44,2.9201E-13,2.5551E-13,3.4169E-13,8.9,2.0988
eFEDS J085419.6-000925,1294,133.58135980555105,-0.1572152831961643,55.953667,110.03848,0.2818399965763092,1,1.9717831747799082,1.5728283576322426,2.747214042389968,2.6407E43,2.441E43,2.8828E43,5.9912E43,5.1094E43,7.356E43,1.1083E-13,1.0157E-13,1.1991E-13,-1.0,-1.0,-1.0,3.7461E43,3.4634E43,4.0677E43,8.4564E43,7.2517E43,1.0346E44,1.5631E-13,1.4503E-13,1.6905E-13,12.94,2.7634
eFEDS J085433.0+004009,3675,133.6375691962322,0.6692880997229234,10.291563,46.51728,0.10948000103235245,1,-1.0,-1.0,-1.0,6.1429E41,3.6529E41,9.5864E41,1.4351E42,8.7425E41,2.3176E42,2.046E-14,1.2168E-14,3.2E-14,-1.0,-1.0,-1.0,6.1452E41,3.6529E41,9.5865E41,1.4417E42,8.7476E41,2.3176E42,2.0487E-14,1.217E-14,3.2E-14,5.17,0.3768
eFEDS J085434.6-014038,8094,133.6437676365099,-1.6774458456560162,13.560669,38.709347,0.594875,0,-1.0,-1.0,-1.0,3.7094E43,2.7608E43,4.6962E43,5.4771E43,4.3985E43,6.7089E43,1.8955E-14,1.5526E-14,2.2455E-14,-1.0,-1.0,-1.0,5.5634E43,4.2399E43,7.0588E43,8.2814E43,6.6921E43,1.006E44,2.8706E-14,2.3456E-14,3.342E-14,5.69,1.3937
eFEDS J085436.6+003835,328,133.65256755196785,0.6431198292554383,242.80338,688.5857,0.1060900017619133,1,3.3904916134797283,2.7199962712150185,4.340683524981208,1.5002E43,1.391E43,1.6079E43,3.5532E43,3.2342E43,3.9061E43,5.3582E-13,4.9647E-13,5.7456E-13,2.423348599948546,2.08888511944173,3.068958992198383,1.8326E43,1.681E43,1.9676E43,4.3451E43,3.9353E43,4.7988E43,6.5621E-13,5.9991E-13,7.0388E-13,24.14,3.8735
eFEDS J085438.6+001211,5390,133.66081709230332,0.20318892394552157,6.239827,21.367981,0.17754501104354858,1,-1.0,-1.0,-1.0,1.7468E42,1.0884E42,2.5296E42,8.0318E42,5.0177E42,1.1665E43,2.1878E-14,1.364E-14,3.1707E-14,-1.0,-1.0,-1.0,1.8906E42,1.1058E42,3.2243E42,8.6918E42,5.0777E42,1.4809E43,2.3675E-14,1.3857E-14,4.0389E-14,3.51,0.9792
eFEDS J085440.5-020931,7700,133.66855847000096,-2.1588238024350033,6.950616,32.392193,0.4725,0,-1.0,-1.0,-1.0,1.3147E43,8.9155E42,1.7986E43,3.368E43,2.2012E43,5.4109E43,1.69E-14,1.1597E-14,2.2235E-14,-1.0,-1.0,-1.0,1.3845E43,9.2276E42,1.9247E43,3.6231E43,2.2899E43,5.7774E43,1.8029E-14,1.2068E-14,2.4203E-14,3.56,0.6172
eFEDS J085447.1-012132,2079,133.69622398488227,-1.3590511574785253,81.52787,153.87675,0.35324999690055847,1,1.7875237343497563,1.5224199166513137,2.340866526941837,3.3893E43,3.0511E43,3.7112E43,6.6447E43,5.9728E43,7.6243E43,8.0658E-14,7.2825E-14,8.8726E-14,1.7111703514228702,1.4518305539446055,2.1686727546098403,4.9798E43,4.596E43,5.4443E43,9.8112E43,8.9272E43,1.124E44,1.189E-13,1.0951E-13,1.3022E-13,11.39,2.0194
eFEDS J085509.0-003445,2810,133.78739824487047,-0.5793156928205971,9.19286,103.623055,0.17422999441623688,1,-1.0,-1.0,-1.0,2.8953E42,2.1518E42,3.5909E42,4.5019E42,3.3215E42,5.6375E42,3.2909E-14,2.4301E-14,4.0747E-14,-1.0,-1.0,-1.0,2.9098E42,2.1537E42,3.5999E42,4.5167E42,3.3328E42,5.6485E42,3.3039E-14,2.431E-14,4.0758E-14,6.75,0.5367
eFEDS J085517.3+013508,6746,133.82194418188112,1.5856961154822211,36.38873,54.99341,0.3237900137901306,1,-1.0,-1.0,-1.0,1.7388E43,1.4941E43,1.9767E43,4.0674E43,3.4062E43,4.8684E43,5.3141E-14,4.5703E-14,6.0711E-14,2.666653595296593,1.944375200908965,4.328683823978379,2.9416E43,2.5906E43,3.31E43,6.9395E43,5.886E43,8.1122E43,9.0466E-14,7.9686E-14,1.0112E-13,9.31,2.541
eFEDS J085519.2-014315,5909,133.82962859303495,-1.721076167878776,12.901,42.52899,0.364895,0,-1.0,-1.0,-1.0,-1.0,-1.0,4.7157E42,-1.0,-1.0,9.4345E42,-1.0,-1.0,1.0467E-14,-1.0,-1.0,-1.0,-1.0,-1.0,6.0316E42,-1.0,-1.0,1.2105E43,-1.0,-1.0,1.3355E-14,1.08,0.5968
eFEDS J085524.4+015012,23313,133.8516150700109,1.836841792038567,8.167437,10.724707,0.2637850046157837,1,-1.0,-1.0,-1.0,4.4439E42,3.4314E42,5.6634E42,1.0267E43,7.1045E42,1.6702E43,2.1638E-14,1.6658E-14,2.7414E-14,-1.0,-1.0,-1.0,8.3776E42,6.6274E42,1.0227E43,1.9094E43,1.3352E43,3.032E43,4.0446E-14,3.2174E-14,4.9276E-14,4.97,2.8411
eFEDS J085530.2-010634,1797,133.87558400855661,-1.1097029065557322,40.550014,74.32604,0.753862,0,-1.0,-1.0,-1.0,1.191E44,9.9888E43,1.3997E44,3.8621E44,3.0533E44,5.5068E44,5.6147E-14,4.8998E-14,6.4193E-14,-1.0,-1.0,-1.0,1.6936E44,1.4433E44,1.95E44,5.3835E44,4.3695E44,7.8964E44,7.9551E-14,7.0075E-14,8.9039E-14,9.38,1.3694
eFEDS J085541.3+002740,5589,133.92188447829,0.4611491281871141,6.875748,46.99645,0.16975000500679016,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.5916E42,-1.0,-1.0,7.3259E42,-1.0,-1.0,2.1929E-14,-1.0,-1.0,-1.0,-1.0,-1.0,1.8076E42,-1.0,-1.0,8.371E42,-1.0,-1.0,2.4905E-14,1.5,0.7213
eFEDS J085542.7+032807,8925,133.92785527330625,3.468702308605818,7.038535,20.748446,0.7375,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.8771E43,-1.0,-1.0,6.5751E43,-1.0,-1.0,9.2707E-15,-1.0,-1.0,-1.0,-1.0,-1.0,2.7218E43,-1.0,-1.0,9.9744E43,-1.0,-1.0,1.3347E-14,0.97,0.7143
eFEDS J085547.0+025458,8799,133.9458403369044,2.916213891049453,7.299822,27.831467,0.97031,0,-1.0,-1.0,-1.0,-1.0,-1.0,6.4138E43,-1.0,-1.0,3.0374E44,-1.0,-1.0,1.8364E-14,-1.0,-1.0,-1.0,-1.0,-1.0,7.2294E43,-1.0,-1.0,3.5107E44,-1.0,-1.0,2.0486E-14,2.0,0.4749
eFEDS J085604.9+002520,8826,134.02023859226173,0.4223456888841792,25.805279,43.56312,0.16753500699996948,1,1.8682836962295715,1.4985564084844512,2.601019938573923,7.6489E42,6.806E42,8.5321E42,1.5366E43,1.3522E43,1.7321E43,9.9375E-14,8.8351E-14,1.1075E-13,1.7523907129323426,1.4609973453674054,2.1720676731787867,1.2946E43,1.1544E43,1.4117E43,2.5694E43,2.2813E43,2.8853E43,1.6757E-13,1.4979E-13,1.8293E-13,11.66,3.6279
eFEDS J085616.2-013945,8922,134.0671709618457,-1.6626033186845943,10.5569935,22.472094,0.513625,0,-1.0,-1.0,-1.0,-1.0,-1.0,2.2226E42,-1.0,-1.0,4.3424E42,-1.0,-1.0,1.6422E-15,-1.0,-1.0,-1.0,-1.0,-1.0,2.4911E42,-1.0,-1.0,4.8052E42,-1.0,-1.0,1.8687E-15,0.15,0.1179
eFEDS J085620.8+014649,569,134.08645872539776,1.7804590250684431,51.74816,309.07455,0.7240800261497498,1,-1.0,-1.0,-1.0,1.6434E44,1.4664E44,1.8483E44,8.6002E44,7.2247E44,1.0113E45,9.5169E-14,8.54E-14,1.061E-13,-1.0,-1.0,-1.0,2.152E44,1.9063E44,2.417E44,1.1189E45,9.4194E44,1.3282E45,1.2472E-13,1.1122E-13,1.3901E-13,12.4,1.5486
eFEDS J085623.7-013612,16370,134.09836006559843,-1.603588277250546,11.862048,17.738138,0.424935,0,-1.0,-1.0,-1.0,1.2273E43,7.4874E42,1.986E43,2.644E43,1.5425E43,4.8168E43,1.8354E-14,1.1201E-14,2.6835E-14,-1.0,-1.0,-1.0,1.7811E43,9.0528E42,3.0711E43,3.7153E43,1.9668E43,7.31E43,2.5673E-14,1.3699E-14,4.1963E-14,4.16,1.2381
eFEDS J085624.4+004632,32576,134.10162172921423,0.7757207563258222,8.472713,11.911369,0.3193899989128113,1,-1.0,-1.0,-1.0,8.3671E42,6.7507E42,1.0264E43,1.9023E43,1.4756E43,2.6717E43,2.6208E-14,2.0979E-14,3.1705E-14,-1.0,-1.0,-1.0,1.0331E43,8.0782E42,1.2824E43,2.3826E43,1.7819E43,3.2772E43,3.2533E-14,2.5069E-14,3.9846E-14,4.67,1.2
eFEDS J085626.3+021349,5697,134.10940047419416,2.230242925027421,21.548983,51.89787,0.12473999708890915,1,1.0275839440089698,0.6670221997555839,1.3099476849302343,3.5658E42,3.1776E42,3.9329E42,5.7892E42,5.1405E42,6.5292E42,8.6021E-14,7.711E-14,9.5182E-14,1.0727812432057968,0.7991894657980128,1.3194465782765237,4.6981E42,4.1037E42,5.2506E42,7.6028E42,6.692E42,8.6898E42,1.1359E-13,9.9018E-14,1.2702E-13,8.38,2.6909
eFEDS J085627.2+014218,1385,134.11336636956494,1.704978358291364,26.812115,92.78449,0.7318,0,-1.0,-1.0,-1.0,1.066E44,8.592E43,1.293E44,3.6942E44,2.8246E44,5.0325E44,5.4717E-14,4.5142E-14,6.5404E-14,-1.0,-1.0,-1.0,1.5178E44,1.2685E44,1.8044E44,5.3472E44,4.1438E44,7.0699E44,7.8358E-14,6.6781E-14,9.1976E-14,8.99,1.3306
eFEDS J085635.0+031342,24300,134.14594382282903,3.2283866556860508,8.062611,10.5476,0.39034,0,-1.0,-1.0,-1.0,-1.0,-1.0,3.9109E42,-1.0,-1.0,1.2067E43,-1.0,-1.0,8.1696E-15,-1.0,-1.0,-1.0,-1.0,-1.0,5.2106E42,-1.0,-1.0,1.5591E43,-1.0,-1.0,1.0855E-14,0.86,0.399
eFEDS J085650.5-022200,5261,134.21013685646193,-2.366863061957764,36.2077,70.15521,0.318025,0,-1.0,-1.0,-1.0,1.1451E43,9.4139E42,1.3717E43,1.7702E43,1.445E43,2.1141E43,3.2668E-14,2.6727E-14,3.8916E-14,-1.0,-1.0,-1.0,1.562E43,1.2999E43,1.8386E43,2.4181E43,2.0257E43,2.8562E43,4.4594E-14,3.7087E-14,5.2504E-14,6.83,1.5412
eFEDS J085706.0+011453,3128,134.27492372521485,1.2481598451752807,53.70888,119.33065,0.10604999959468842,1,1.0980228725832688,1.0029843309794275,1.2074719624566552,4.4846E42,4.1094E42,4.9079E42,6.9509E42,6.3397E42,7.628E42,1.5313E-13,1.4046E-13,1.6755E-13,0.8738169018624695,0.6804253625160045,0.9996987571557884,5.0666E42,4.5786E42,5.5831E42,7.8522E42,7.0902E42,8.6673E42,1.7326E-13,1.5632E-13,1.9101E-13,11.74,2.5057
eFEDS J085728.3+032354,6278,134.3679608929862,3.3983519627414176,23.160492,41.035313,0.19971999526023865,1,-1.0,-1.0,-1.0,6.5196E42,5.5706E42,7.6345E42,1.0904E43,8.8031E42,1.3931E43,5.4871E-14,4.685E-14,6.4529E-14,-1.0,-1.0,-1.0,8.7757E42,7.4145E42,1.0314E43,1.4552E43,1.1865E43,1.8884E43,7.4218E-14,6.2355E-14,8.7581E-14,7.07,2.0258
eFEDS J085740.2-020037,7884,134.41724602838406,-2.010322650149143,19.773968,33.961224,0.71696,0,-1.0,-1.0,-1.0,2.1526E43,1.7175E43,2.63E43,1.0628E44,7.7044E43,1.3444E44,1.2632E-14,1.0035E-14,1.5309E-14,-1.0,-1.0,-1.0,3.4542E43,2.8576E43,4.1074E43,1.7109E44,1.2687E44,2.1118E44,2.0198E-14,1.6714E-14,2.3961E-14,5.57,1.3896
eFEDS J085744.2-022448,12696,134.4337009801295,-2.4134122283320933,9.34366,20.119831,0.162465,0,-1.0,-1.0,-1.0,1.6065E42,1.1969E42,2.0255E42,2.7517E42,2.0075E42,3.7042E42,2.128E-14,1.5896E-14,2.6824E-14,-1.0,-1.0,-1.0,2.2512E42,1.5559E42,2.9175E42,3.8301E42,2.6523E42,5.2634E42,2.9724E-14,2.0841E-14,3.8493E-14,4.51,2.0278
eFEDS J085751.7+031039,108,134.46529962923591,3.177539048646133,742.2099,2053.947,0.20054000616073608,1,5.793270987076478,4.942963275199734,6.965906858119608,9.5943E43,9.2399E43,1.0037E44,3.145E44,2.9698E44,3.3384E44,9.0055E-13,8.6624E-13,9.4188E-13,5.646895029679836,4.799181997881121,6.760423126942486,1.3539E44,1.3043E44,1.4103E44,4.4439E44,4.1897E44,4.6949E44,1.2708E-12,1.2221E-12,1.3226E-12,40.27,4.3717
