,obs,start,duration
121,900157,2019-10-04T11:36:25,4220.0
122,900158,2019-10-04T12:16:26,3619.0
123,900159,2019-10-04T12:59:46,2819.0
124,900160,2019-10-04T13:16:24,3621.0
125,900161,2019-10-04T13:46:24,3621.0
126,900162,2019-10-04T14:16:24,3201.0
127,900163,2019-10-04T14:39:24,3201.0
128,900164,2019-10-04T15:02:24,3201.0
129,900165,2019-10-04T15:25:24,3201.0
130,900166,2019-10-04T15:48:25,3199.0
131,900167,2019-10-04T16:11:27,2928.0
132,900168,2019-10-04T16:34:24,3201.0
133,900169,2019-10-04T17:00:05,3040.0
134,900170,2019-10-04T17:20:25,3199.0
135,900171,2019-10-04T17:43:24,3182.0
136,900172,2019-10-04T18:06:24,3182.0
137,900173,2019-10-04T18:29:24,3183.0
138,900174,2019-10-04T18:52:26,3181.0
139,900175,2019-10-04T19:15:27,3181.0
140,900176,2019-10-04T19:38:27,3181.0
141,900177,2019-10-04T20:01:28,3522.0
142,900178,2019-10-04T20:31:28,3601.0
143,900179,2019-10-04T21:01:29,3616.0
144,900180,2019-10-04T21:31:29,3616.0
145,900181,2019-10-04T22:01:24,4221.0
146,700180,2019-11-19T22:17:20,37251.0
147,700181,2019-11-20T09:35:20,36830.0
148,700177,2019-11-21T10:22:18,80033.0
149,700154,2019-11-11T02:09:28,74248.0
150,300003,2019-10-11T09:00:52,50305.0
151,300011,2019-11-18T18:30:36,60274.0
152,700011,2019-11-01T16:38:30,25810.0
153,700012,2019-09-28T23:05:29,19529.0
154,700013,2019-11-02T07:43:00,25210.0
155,700014,2019-11-02T15:10:20,25210.0
156,700163,2019-11-02T00:14:50,25270.0
157,700173,2019-11-19T13:12:20,8810.0
158,700174,2019-11-19T16:10:20,8390.0
159,700175,2019-11-19T19:01:20,8331.0
160,300017,2019-10-26T08:12:29,56225.0
161,300014,2019-10-07T14:38:03,40286.0
162,300005,2019-10-08T15:54:34,61333.0
163,300006,2019-10-09T09:03:26,60547.0
164,300016,2019-10-17T23:59:56,60502.0
165,700008,2019-10-24T11:11:19,78273.0
166,900060,2019-09-24T15:27:06,21806.0
167,900068,2019-09-28T15:49:51,20441.0
168,900069,2019-09-29T15:23:24,22033.0
169,900070,2019-09-30T15:23:24,22028.0
